Tema Queja;Año;Área;Número de quejas;Proporción
Radiaciones electromagnéticas;2015;Kennedy;12;15,2
Radiaciones electromagnéticas;2015;Fontibón;5;6,3
Radiaciones electromagnéticas;2015;Engativá;8;10,1
Radiaciones electromagnéticas;2015;Suba;15;19
Radiaciones electromagnéticas;2015;Barrios Unidos;1;1,3
Radiaciones electromagnéticas;2015;Teusaquillo;8;10,1
Radiaciones electromagnéticas;2015;Los Mártires;0;0
Radiaciones electromagnéticas;2015;Antonio Nariño;0;0
Radiaciones electromagnéticas;2015;Puente Aranda;5;6,3
Radiaciones electromagnéticas;2015;La Candelaria;1;1,3
Radiaciones electromagnéticas;2015;Rafael Uribe Uribe;1;1,3
Radiaciones electromagnéticas;2015;Ciudad Bolívar;3;3,8
Radiaciones electromagnéticas;2015;Distrito;79;100
Contaminación por aire;2016;Usaquén;2;2,8
Contaminación por aire;2016;Chapinero;7;9,7
Contaminación por aire;2016;Santa Fe;2;2,8
Contaminación por aire;2016;San Cristóbal;5;6,9
Contaminación por aire;2016;Usme;1;1,4
Contaminación por aire;2016;Tunjuelito;0;0
Contaminación por aire;2016;Bosa;17;23,6
Contaminación por aire;2016;Kennedy;3;4,2
Contaminación por aire;2016;Fontibón;1;1,4
Contaminación por aire;2016;Engativá;7;9,7
Contaminación por aire;2016;Suba;5;6,9
Contaminación por aire;2016;Barrios Unidos;3;4,2
Contaminación por aire;2016;Teusaquillo;3;4,2
Contaminación por aire;2016;Los Mártires;1;1,4
Contaminación por aire;2016;Antonio Nariño;0;0
Contaminación por aire;2016;Puente Aranda;2;2,8
Contaminación por aire;2016;La Candelaria;0;0
Contaminación por aire;2016;Rafael Uribe Uribe;6;8,3
Contaminación por aire;2016;Ciudad Bolívar;7;9,7
Contaminación por aire;2016;Distrito;72;100
Humo de tabaco;2016;Usaquén;5;15,2
Humo de tabaco;2016;Chapinero;1;3
Humo de tabaco;2016;Santa Fe;5;15,2
Humo de tabaco;2016;San Cristóbal;0;0
Humo de tabaco;2016;Usme;1;3
Humo de tabaco;2016;Tunjuelito;1;3
Humo de tabaco;2016;Bosa;3;9,1
Humo de tabaco;2016;Kennedy;1;3
Humo de tabaco;2016;Fontibón;3;9,1
Humo de tabaco;2016;Engativá;1;3
Humo de tabaco;2016;Suba;6;18,2
Humo de tabaco;2016;Barrios Unidos;1;3
Humo de tabaco;2016;Teusaquillo;2;6,1
Humo de tabaco;2016;Los Mártires;1;3
Humo de tabaco;2016;Antonio Nariño;2;6,1
Humo de tabaco;2016;Puente Aranda;0;0
Humo de tabaco;2016;La Candelaria;0;0
Humo de tabaco;2016;Rafael Uribe Uribe;0;0
Humo de tabaco;2016;Ciudad Bolívar;0;0
Humo de tabaco;2016;Distrito;33;100
Olores ofensivos;2016;Usaquén;0;0
Olores ofensivos;2016;Chapinero;14;11
Olores ofensivos;2016;Santa Fe;10;7,9
Olores ofensivos;2016;San Cristóbal;1;0,8
Olores ofensivos;2016;Usme;6;4,7
Olores ofensivos;2016;Tunjuelito;7;5,5
Olores ofensivos;2016;Bosa;27;21,3
Olores ofensivos;2016;Kennedy;4;3,1
Olores ofensivos;2016;Fontibón;5;3,9
Olores ofensivos;2016;Engativá;14;11
Olores ofensivos;2016;Suba;6;4,7
Olores ofensivos;2016;Barrios Unidos;13;10,2
Olores ofensivos;2016;Teusaquillo;5;3,9
Olores ofensivos;2016;Los Mártires;3;2,4
Olores ofensivos;2016;Antonio Nariño;2;1,6
Olores ofensivos;2016;Puente Aranda;1;0,8
Olores ofensivos;2016;La Candelaria;2;1,6
Olores ofensivos;2016;Rafael Uribe Uribe;1;0,8
Olores ofensivos;2016;Ciudad Bolívar;6;4,7
Olores ofensivos;2016;Distrito;127;100
Contaminación por ruido;2016;Usaquén;10;7,7
Contaminación por ruido;2016;Chapinero;12;9,2
Contaminación por ruido;2016;Santa Fe;4;3,1
Contaminación por ruido;2016;San Cristóbal;4;3,1
Contaminación por ruido;2016;Usme;6;4,6
Contaminación por ruido;2016;Tunjuelito;3;2,3
Contaminación por ruido;2016;Bosa;49;37,7
Contaminación por ruido;2016;Kennedy;5;3,8
Contaminación por ruido;2016;Fontibón;3;2,3
Contaminación por ruido;2016;Engativá;7;5,4
Contaminación por ruido;2016;Suba;8;6,2
Contaminación por ruido;2016;Barrios Unidos;8;6,2
Contaminación por ruido;2016;Teusaquillo;7;5,4
Contaminación por ruido;2016;Los Mártires;0;0
Contaminación por ruido;2016;Antonio Nariño;1;0,8
Contaminación por ruido;2016;Puente Aranda;0;0
Contaminación por ruido;2016;La Candelaria;1;0,8
Contaminación por ruido;2016;Rafael Uribe Uribe;1;0,8
Contaminación por ruido;2016;Ciudad Bolívar;1;0,8
Contaminación por ruido;2016;Distrito;130;100
Radiaciones electromagnéticas;2016;Usaquén;3;7,3
Radiaciones electromagnéticas;2016;Chapinero;9;22
Radiaciones electromagnéticas;2016;Santa Fe;0;0
Radiaciones electromagnéticas;2016;San Cristóbal;0;0
Radiaciones electromagnéticas;2016;Usme;2;4,9
Radiaciones electromagnéticas;2016;Tunjuelito;1;2,4
Radiaciones electromagnéticas;2016;Bosa;2;4,9
Radiaciones electromagnéticas;2016;Kennedy;3;7,3
Radiaciones electromagnéticas;2016;Fontibón;0;0
Radiaciones electromagnéticas;2016;Engativá;6;14,6
Radiaciones electromagnéticas;2016;Suba;3;7,3
Radiaciones electromagnéticas;2016;Barrios Unidos;2;4,9
Radiaciones electromagnéticas;2016;Teusaquillo;5;12,2
Radiaciones electromagnéticas;2016;Los Mártires;2;4,9
Radiaciones electromagnéticas;2016;Antonio Nariño;0;0
Radiaciones electromagnéticas;2016;Puente Aranda;0;0
Radiaciones electromagnéticas;2016;La Candelaria;3;7,3
Radiaciones electromagnéticas;2016;Rafael Uribe Uribe;0;0
Radiaciones electromagnéticas;2016;Ciudad Bolívar;0;0
Radiaciones electromagnéticas;2016;Distrito;41;100
Contaminación por aire;2017;Usaquén;4;7
Contaminación por aire;2017;Chapinero;4;7
Contaminación por aire;2017;Santa Fe;0;0
Contaminación por aire;2017;San Cristóbal;0;0
Contaminación por aire;2017;Usme;3;5,3
Contaminación por aire;2017;Tunjuelito;0;0
Contaminación por aire;2017;Bosa;9;15,8
Contaminación por aire;2017;Kennedy;4;7
Contaminación por aire;2017;Fontibón;3;5,3
Contaminación por aire;2017;Engativá;8;14
Contaminación por aire;2017;Suba;7;12,3
Contaminación por aire;2017;Barrios Unidos;5;8,8
Contaminación por aire;2017;Teusaquillo;2;3,5
Contaminación por aire;2017;Los Mártires;0;0
